"MESH_TYPE"	"MESH_SOURCE_CODE"	"MESH_SOURCE_NAME"	"RECORD_COUNT"	"RECORD_TYPE"
"CONDITION"	"D001250"	"Asthma, Exercise-Induced"	33619	"DISTINCT PERSON"
"CONDITION"	"D001145"	"Arrhythmias, Cardiac"	264866	"DISTINCT PERSON"
"CONDITION"	"D001281"	"Atrial Fibrillation"	136612	"DISTINCT PERSON"
"CONDITION"	"D000197"	"Actinomycosis, Cervicofacial"	105	"DISTINCT PERSON"
"CONDITION"	"D000707"	"Anaphylaxis"	14682	"DISTINCT PERSON"
"CONDITION"	"D062788"	"Adenomyosis"	31864	"DISTINCT PERSON"
"CONDITION"	"D000130"	"Achondroplasia"	164	"DISTINCT PERSON"
"CONDITION"	"D000437"	"Alcoholism"	61448	"DISTINCT PERSON"
"CONDITION"	"D000544"	"Alzheimer Disease"	12206	"DISTINCT PERSON"
"CONDITION"	"D001997"	"Bronchopulmonary Dysplasia"	1109	"DISTINCT PERSON"
"CONDITION"	"C538175"	"Acquired ichthyosis"	903	"DISTINCT PERSON"
"CONDITION"	"D000505"	"Alopecia"	86498	"DISTINCT PERSON"
"CONDITION"	"D001658"	"Biliary Fistula"	142	"DISTINCT PERSON"
"CONDITION"	"D000740"	"Anemia"	547509	"DISTINCT PERSON"
"CONDITION"	"D000030"	"Abortion, Missed"	36930	"DISTINCT PERSON"
"CONDITION"	"D000312"	"Adrenal Hyperplasia, Congenital"	549	"DISTINCT PERSON"
"CONDITION"	"D001008"	"Anxiety Disorders"	1242798	"DISTINCT PERSON"
"CONDITION"	"D000257"	"Adenoviridae Infections"	2458	"DISTINCT PERSON"
"CONDITION"	"D000309"	"Adrenal Insufficiency"	15315	"DISTINCT PERSON"
"CONDITION"	"D000856"	"Anorexia Nervosa"	6390	"DISTINCT PERSON"
"CONDITION"	"D015746"	"Abdominal Pain"	1321913	"DISTINCT PERSON"
"CONDITION"	"D001044"	"Aphonia"	1278	"DISTINCT PERSON"
"CONDITION"	"D001259"	"Ataxia"	6036	"DISTINCT PERSON"
"CONDITION"	"D000788"	"Angina Pectoris, Variant"	2229	"DISTINCT PERSON"
"CONDITION"	"D000038"	"Abscess"	181724	"DISTINCT PERSON"
"CONDITION"	"D000126"	"Achlorhydria"	345	"DISTINCT PERSON"
"CONDITION"	"D001035"	"Aphakia"	4675	"DISTINCT PERSON"
"CONDITION"	"D000430"	"Alcohol Withdrawal Delirium"	3121	"DISTINCT PERSON"
"CONDITION"	"D000648"	"Amnesia, Retrograde"	798	"DISTINCT PERSON"
