"MESH_TYPE"	"MESH_SOURCE_CODE"	"MESH_SOURCE_NAME"	"RECORD_COUNT"	"RECORD_TYPE"
"CONDITION"	"D017453"	"Dermatitis, Irritant"	43386	"DISTINCT PERSON"
"CONDITION"	"D013169"	"Spondylolysis"	25426	"DISTINCT PERSON"
"CONDITION"	"C562396"	"Ankyloglossia"	16263	"DISTINCT PERSON"
"CONDITION"	"D018908"	"Muscle Weakness"	237845	"DISTINCT PERSON"
"CONDITION"	"D013130"	"Spinal Stenosis"	16845	"DISTINCT PERSON"
"CONDITION"	"C535456"	"Chronic recurrent multifocal osteomyelitis"	829	"DISTINCT PERSON"
"CONDITION"	"D009164"	"Mycobacterium Infections"	1455	"DISTINCT PERSON"
"CONDITION"	"D038223"	"Post-Concussion Syndrome"	25012	"DISTINCT PERSON"
"CONDITION"	"D008551"	"Melena"	115481	"DISTINCT PERSON"
"CONDITION"	"D059268"	"Atrophic Vaginitis"	109210	"DISTINCT PERSON"
"CONDITION"	"D004894"	"Erythrasma"	1271	"DISTINCT PERSON"
"CONDITION"	"D004409"	"Dyskinesia, Drug-Induced"	771	"DISTINCT PERSON"
"CONDITION"	"D036982"	"Heel Spur"	96131	"DISTINCT PERSON"
"CONDITION"	"D013622"	"Taeniasis"	137	"DISTINCT PERSON"
"CONDITION"	"D005235"	"Fatty Liver, Alcoholic"	2233	"DISTINCT PERSON"
"CONDITION"	"D001746"	"Bladder Exstrophy"	287	"DISTINCT PERSON"
"CONDITION"	"D019080"	"Cafe-au-Lait Spots"	9469	"DISTINCT PERSON"
"CONDITION"	"D018771"	"Arthralgia"	244968	"DISTINCT PERSON"
"CONDITION"	"D007970"	"Leukopenia"	50807	"DISTINCT PERSON"
"CONDITION"	"D020437"	"Hypoglossal Nerve Diseases"	168	"DISTINCT PERSON"
"CONDITION"	"D005264"	"Femoral Fractures"	224	"DISTINCT PERSON"
"CONDITION"	"D003389"	"Cranial Nerve Diseases"	1790	"DISTINCT PERSON"
"CONDITION"	"D000506"	"Alopecia Areata"	26900	"DISTINCT PERSON"
"CONDITION"	"D008587"	"Meningitis, Viral"	2113	"DISTINCT PERSON"
"CONDITION"	"D004057"	"Hyperostosis, Diffuse Idiopathic Skeletal"	1727	"DISTINCT PERSON"
"CONDITION"	"D001919"	"Bradycardia"	116299	"DISTINCT PERSON"
"CONDITION"	"C536227"	"Cyclic neutropenia"	1343	"DISTINCT PERSON"
"CONDITION"	"D054537"	"Atrioventricular Block"	2638	"DISTINCT PERSON"
"CONDITION"	"D001996"	"Bronchopneumonia"	14490	"DISTINCT PERSON"
"CONDITION"	"D020752"	"Neurocutaneous Syndromes"	1934	"DISTINCT PERSON"
"CONDITION"	"D003229"	"Conjunctival Diseases"	3019	"DISTINCT PERSON"
"CONDITION"	"D018917"	"Optic Neuropathy, Ischemic"	3142	"DISTINCT PERSON"
"CONDITION"	"D001764"	"Blepharospasm"	6223	"DISTINCT PERSON"
"CONDITION"	"D016884"	"Polyendocrinopathies, Autoimmune"	482	"DISTINCT PERSON"
"CONDITION"	"D007153"	"Immunologic Deficiency Syndromes"	16759	"DISTINCT PERSON"
"CONDITION"	"D000550"	"Amblyopia"	19865	"DISTINCT PERSON"
"CONDITION"	"D006964"	"Hyperpituitarism"	8030	"DISTINCT PERSON"
"CONDITION"	"D006689"	"Hodgkin Disease"	5927	"DISTINCT PERSON"
"CONDITION"	"D001139"	"Arnold-Chiari Malformation"	3342	"DISTINCT PERSON"
"CONDITION"	"D009298"	"Nasal Polyps"	32605	"DISTINCT PERSON"
"CONDITION"	"D046089"	"Hearing Loss, Mixed Conductive-Sensorineural"	16169	"DISTINCT PERSON"
"CONDITION"	"D005335"	"Fever of Unknown Origin"	1489	"DISTINCT PERSON"
"CONDITION"	"D018366"	"Vasculitis, Leukocytoclastic, Cutaneous"	1323	"DISTINCT PERSON"
"CONDITION"	"D056833"	"Central Serous Chorioretinopathy"	8295	"DISTINCT PERSON"
"CONDITION"	"D013587"	"Syphilis"	5562	"DISTINCT PERSON"
"CONDITION"	"D058627"	"Megalencephaly"	4730	"DISTINCT PERSON"
"CONDITION"	"D016731"	"Erythema Infectiosum"	6479	"DISTINCT PERSON"
"CONDITION"	"D013734"	"Androgen-Insensitivity Syndrome"	346	"DISTINCT PERSON"
"CONDITION"	"D015168"	"Lightning Injuries"	110	"DISTINCT PERSON"
"CONDITION"	"D012544"	"Scheuermann Disease"	1249	"DISTINCT PERSON"
"CONDITION"	"D005928"	"Glossitis"	7101	"DISTINCT PERSON"
"CONDITION"	"D005532"	"Foot Deformities, Congenital"	11259	"DISTINCT PERSON"
"CONDITION"	"D008305"	"Malignant Hyperthermia"	119	"DISTINCT PERSON"
"CONDITION"	"D014406"	"Tularemia"	144	"DISTINCT PERSON"
"CONDITION"	"D020422"	"Mononeuropathies"	15093	"DISTINCT PERSON"
"CONDITION"	"D000724"	"Ancylostomiasis"	108	"DISTINCT PERSON"
"CONDITION"	"D019970"	"Cocaine-Related Disorders"	2023	"DISTINCT PERSON"
"CONDITION"	"D020370"	"Osteoarthritis, Knee"	427335	"DISTINCT PERSON"
"CONDITION"	"D012010"	"Red-Cell Aplasia, Pure"	242	"DISTINCT PERSON"
"CONDITION"	"D009755"	"Night Blindness"	395	"DISTINCT PERSON"
"CONDITION"	"D000039"	"Peritonsillar Abscess"	8007	"DISTINCT PERSON"
"CONDITION"	"D015423"	"Scleritis"	2987	"DISTINCT PERSON"
"CONDITION"	"D007669"	"Kidney Calculi"	244897	"DISTINCT PERSON"
"CONDITION"	"D041881"	"Cholecystitis, Acute"	17239	"DISTINCT PERSON"
"CONDITION"	"D009221"	"Myositis Ossificans"	833	"DISTINCT PERSON"
"CONDITION"	"D001037"	"Aphasia"	10521	"DISTINCT PERSON"
"CONDITION"	"D020421"	"Vagus Nerve Diseases"	308	"DISTINCT PERSON"
"CONDITION"	"D006259"	"Craniocerebral Trauma"	182972	"DISTINCT PERSON"
"CONDITION"	"D013716"	"Tennis Elbow"	101491	"DISTINCT PERSON"
"CONDITION"	"D010373"	"Lice Infestations"	3394	"DISTINCT PERSON"
"CONDITION"	"D007410"	"Intestinal Diseases"	412835	"DISTINCT PERSON"
"CONDITION"	"D009182"	"Mycosis Fungoides"	1291	"DISTINCT PERSON"
"CONDITION"	"D017565"	"Sarcoidosis, Pulmonary"	7780	"DISTINCT PERSON"
"CONDITION"	"D006627"	"Hirschsprung Disease"	811	"DISTINCT PERSON"
"CONDITION"	"D065172"	"Pregnancy, Ovarian"	287	"DISTINCT PERSON"
"CONDITION"	"D000138"	"Acidosis"	40988	"DISTINCT PERSON"
"CONDITION"	"D049950"	"Hyperparathyroidism, Primary"	10198	"DISTINCT PERSON"
"CONDITION"	"D000787"	"Angina Pectoris"	102939	"DISTINCT PERSON"
"CONDITION"	"D003085"	"Colic"	8387	"DISTINCT PERSON"
"CONDITION"	"D012128"	"Respiratory Distress Syndrome, Adult"	13492	"DISTINCT PERSON"
"CONDITION"	"D020326"	"Migraine without Aura"	194776	"DISTINCT PERSON"
"CONDITION"	"D019773"	"Epiretinal Membrane"	51528	"DISTINCT PERSON"
"CONDITION"	"D014399"	"Tuberculosis, Spinal"	430	"DISTINCT PERSON"
"CONDITION"	"D015275"	"Tumor Lysis Syndrome"	466	"DISTINCT PERSON"
"CONDITION"	"D004065"	"Digestive System Abnormalities"	253	"DISTINCT PERSON"
"CONDITION"	"D013322"	"Strongyloidiasis"	126	"DISTINCT PERSON"
"CONDITION"	"D001014"	"Aortic Aneurysm"	6848	"DISTINCT PERSON"
"CONDITION"	"D005334"	"Fever"	973899	"DISTINCT PERSON"
"CONDITION"	"D017824"	"Bone Cysts, Aneurysmal"	989	"DISTINCT PERSON"
"CONDITION"	"D020774"	"Pick Disease of the Brain"	189	"DISTINCT PERSON"
"CONDITION"	"C562992"	"Lung agenesis"	180	"DISTINCT PERSON"
"CONDITION"	"D011272"	"Pregnancy, Multiple"	769	"DISTINCT PERSON"
"CONDITION"	"D013617"	"Tachycardia, Supraventricular"	66968	"DISTINCT PERSON"
"CONDITION"	"D047748"	"Pituitary ACTH Hypersecretion"	919	"DISTINCT PERSON"
"CONDITION"	"D001196"	"Ascariasis"	276	"DISTINCT PERSON"
"CONDITION"	"D010019"	"Osteomyelitis"	12726	"DISTINCT PERSON"
"CONDITION"	"D020325"	"Migraine with Aura"	102515	"DISTINCT PERSON"
"CONDITION"	"C538636"	"Familial Letterer-Siwe disease"	109	"DISTINCT PERSON"
"CONDITION"	"D008271"	"Mycetoma"	125	"DISTINCT PERSON"
"CONDITION"	"D011263"	"Pregnancy Trimester, Third"	224483	"DISTINCT PERSON"
"CONDITION"	"D055496"	"Neurogenic Bowel"	3072	"DISTINCT PERSON"
"CONDITION"	"D000471"	"Alkalosis"	4309	"DISTINCT PERSON"
"CONDITION"	"D005902"	"Glaucoma, Open-Angle"	4619	"DISTINCT PERSON"
"CONDITION"	"D013158"	"Splenic Diseases"	4568	"DISTINCT PERSON"
"CONDITION"	"D000130"	"Achondroplasia"	405	"DISTINCT PERSON"
"CONDITION"	"D000868"	"Anterior Compartment Syndrome"	4514	"DISTINCT PERSON"
"CONDITION"	"C537055"	"Alopecia universalis"	772	"DISTINCT PERSON"
"CONDITION"	"D010488"	"Polyarteritis Nodosa"	584	"DISTINCT PERSON"
"CONDITION"	"D019214"	"Gingival Overgrowth"	464	"DISTINCT PERSON"
"CONDITION"	"D050032"	"Postpartum Thyroiditis"	537	"DISTINCT PERSON"
"CONDITION"	"D011662"	"Pulmonary Subvalvular Stenosis"	356	"DISTINCT PERSON"
"CONDITION"	"D000033"	"Abortion, Threatened"	60345	"DISTINCT PERSON"
